observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
21047.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,, - Final consumption expenditure - Non-profit institutions, - Final consumption expenditure - Non-profit institutions,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,HAYE,HAYE,,,
150171.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,, - Final consumption expenditure - General Government, - Final consumption expenditure - General Government,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,NMRP,NMRP,,,
5667.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Domestic expenditure on goods and services at market prices - Gross capital formation - Changes in inventories,Domestic expenditure on goods and services at market prices - Gross capital formation - Changes in inventories,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAEX,CAEX,,,
,-,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Domestic expenditure on goods and services at market prices - Gross capital formation - Of which alignment adjustment,Domestic expenditure on goods and services at market prices - Gross capital formation - Of which alignment adjustment,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,DMUN,DMUN,,,
154.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Domestic expenditure on goods and services at market prices - Gross capital formation - Acquisitions less disposals of valuables,Domestic expenditure on goods and services at market prices - Gross capital formation - Acquisitions less disposals of valuables,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,NPJQ,NPJQ,,,
879348.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Domestic expenditure on goods and services at market prices -  - Total domestic expenditure,Domestic expenditure on goods and services at market prices -  - Total domestic expenditure,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,YBIL,YBIL,,,
239435.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,, -  - Total exports, -  - Total exports,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBH,IKBH,,,
1118783.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,, -  - Gross final expenditure, -  - Gross final expenditure,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,ABMF,ABMF,,,
235295.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,, -  - less Total imports, -  - less Total imports,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBI,IKBI,,,
4140.0,,,,Value,,,,,,£ million,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,, -  - Trade balance, -  - Trade balance,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBJ,IKBJ,,,
