observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
791979.0,,,,Number,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Expenditure- based estimate,£ million - At current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGQ,CAGQ,,,
791979.0,,,,Number,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Income- based estimate,£ million - At current prices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGS,CAGS,,,
,-,,,Number,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million -  - Residual error,£ million -  - Residual error,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,DJDS,DJDS,,,
74.8,,,,Number,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYC,IHYC,,,
74.8,,,,Number,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Chained volume indices - Income- based estimate,Index numbers (2012 = 100) - Chained volume indices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYD,IHYD,,,
74.8,,,,Number,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Chained volume indices - Output based estimate,Index numbers (2012 = 100) - Chained volume indices - Output based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,YBFR,YBFR,,,
829932.0,,,,Number,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Expenditure- based estimate,£ million - At current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGQ,CAGQ,,,
829932.0,,,,Number,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Income- based estimate,£ million - At current prices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGS,CAGS,,,
,-,,,Number,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million -  - Residual error,£ million -  - Residual error,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,DJDS,DJDS,,,
77.5,,,,Number,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYC,IHYC,,,
77.5,,,,Number,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Chained volume indices - Income- based estimate,Index numbers (2012 = 100) - Chained volume indices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYD,IHYD,,,
77.5,,,,Number,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Chained volume indices - Output based estimate,Index numbers (2012 = 100) - Chained volume indices - Output based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,YBFR,YBFR,,,
861179.0,,,,Number,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Expenditure- based estimate,£ million - At current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGQ,CAGQ,,,
861179.0,,,,Number,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Income- based estimate,£ million - At current prices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGS,CAGS,,,
,-,,,Number,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million -  - Residual error,£ million -  - Residual error,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,DJDS,DJDS,,,
80.0,,,,Number,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYC,IHYC,,,
80.0,,,,Number,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Chained volume indices - Income- based estimate,Index numbers (2012 = 100) - Chained volume indices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYD,IHYD,,,
80.0,,,,Number,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Chained volume indices - Output based estimate,Index numbers (2012 = 100) - Chained volume indices - Output based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,YBFR,YBFR,,,
915051.0,,,,Number,,,,,,,,,,,,,2000.0,2000.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Expenditure- based estimate,£ million - At current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGQ,CAGQ,,,
915051.0,,,,Number,,,,,,,,,,,,,2000.0,2000.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million - At current prices - Income- based estimate,£ million - At current prices - Income- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,CAGS,CAGS,,,
,-,,,Number,,,,,,,,,,,,,2000.0,2000.0,,Year,,,,,,,,,,,,,,,Category,Category,,£ million -  - Residual error,£ million -  - Residual error,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,DJDS,DJDS,,,
83.1,,,,Number,,,,,,,,,,,,,2000.0,2000.0,,Year,,,,,,,,,,,,,,,Category,Category,,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,Index numbers (2012 = 100) - Value indices at current prices - Expenditure- based estimate,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IHYC,IHYC,,,
