observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
4.41,,,,,,,,,,,,,,,,,1991.0,1991.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
2.05,,,,,,,,,,,,,,,,,1992.0,1992.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
2.45,,,,,,,,,,,,,,,,,1993.0,1993.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
5.0,,,,,,,,,,,,,,,,,1994.0,1994.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
3.49,,,,,,,,,,,,,,,,,1995.0,1995.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
6.61,,,,,,,,,,,,,,,,,1996.0,1996.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
3.63,,,,,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-0.03,,,,,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
0.47,,,,,,,,,,,,,,,,,1999.0,1999.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-1.03,,,,,,,,,,,,,,,,,2000.0,2000.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
5.34,,,,,,,,,,,,,,,,,2001.0,2001.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
0.45,,,,,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-4.34,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-5.07,,,,,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-2.78,,,,,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-1.56,,,,,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-0.72,,,,,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-2.47,,,,,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-6.86,,,,,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-2.01,,,,,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-6.11,,,,,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-5.95,,,,,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-0.73,,,,,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,ABDE,ABDE,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-1.01,,,,,,,,,,,,,,,,,1971.0,1971.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
2.1,,,,,,,,,,,,,,,,,1972.0,1972.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
8.89,,,,,,,,,,,,,,,,,1973.0,1973.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-1.27,,,,,,,,,,,,,,,,,1974.0,1974.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-7.15,,,,,,,,,,,,,,,,,1975.0,1975.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
1.85,,,,,,,,,,,,,,,,,1976.0,1976.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
1.93,,,,,,,,,,,,,,,,,1977.0,1977.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
0.56,,,,,,,,,,,,,,,,,1978.0,1978.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-0.25,,,,,,,,,,,,,,,,,1979.0,1979.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-9.03,,,,,,,,,,,,,,,,,1980.0,1980.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-6.36,,,,,,,,,,,,,,,,,1981.0,1981.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
-0.1,,,,,,,,,,,,,,,,,1982.0,1982.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
2.07,,,,,,,,,,,,,,,,,1983.0,1983.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
3.65,,,,,,,,,,,,,,,,,1984.0,1984.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
2.83,,,,,,,,,,,,,,,,,1985.0,1985.0,,Year,,,,,,,,,,,,,,,Category,Category,,GVA (Log changes),GVA (Log changes),,,,Industry,Industry,,C,C,,,,Category 2,Category 2,,GVA (Log changes),GVA (Log changes),,,
