observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
10800.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
10623.0,,,,,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
11288.0,,,,,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
11975.0,,,,,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
13268.0,,,,,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
13717.0,,,,,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
13646.0,,,,,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
14392.0,,,,,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
15667.0,,,,,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
15808.0,,,,,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
17145.0,,,,,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
18381.0,,,,,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,  TOTAL ,  TOTAL ,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
8098.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Manufacturing, Manufacturing,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
8180.0,,,,,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Manufacturing, Manufacturing,,,,Source,Source,,Civil,Civil,,,,Pricing,Pricing,, CURRENT PRICES, CURRENT PRICES,,,
