observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4,dim_id_5,dimension_label_eng_5,dimension_label_cym_5,dim_item_id_5,dimension_item_label_eng_5,dimension_item_label_cym_5,is_total_5,is_sub_total_5
,A (Part) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,A (Part) 2,A (Part) 2,,,,SIC 1,SIC 1,,"Agriculture, forestry and fishing","Agriculture, forestry and fishing",,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01,(part) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01 (part) 2,01 (part) 2,,,,SIC 1,SIC 1,,"Crop and animal production, hunting","Crop and animal production, hunting",,,,SIC 2,SIC 2,,and related service activities,and related service activities,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.6,01.6,,,,SIC 1,SIC 1,,Support activities to agriculture and,Support activities to agriculture and,,,,SIC 2,SIC 2,,post-harvest crop activities,post-harvest crop activities,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.61,01.61,,,,SIC 1,SIC 1,,Support activities for crop production,Support activities for crop production,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.62,01.62,,,,SIC 1,SIC 1,,Support activities for animal production,Support activities for animal production,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.62,/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.62/1,01.62/1,,,,SIC 1,SIC 1,,Farm animal boarding and care,Farm animal boarding and care,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.62,/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.62/9,01.62/9,,,,SIC 1,SIC 1,,Support activities for animal production,Support activities for animal production,,,,SIC 2,SIC 2,,( other than farm animal boarding and care),( other than farm animal boarding and care),,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.63,01.63,,,,SIC 1,SIC 1,,Post-harvest crop activities ,Post-harvest crop activities ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.64,01.64,,,,SIC 1,SIC 1,,Seed processing for propagation ,Seed processing for propagation ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
01.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,01.7,01.7,,,,SIC 1,SIC 1,,"Hunting, trapping and related service","Hunting, trapping and related service",,,,SIC 2,SIC 2,,activities,activities,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
