observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holding,Holding,,Value,Value,,,
