observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
67325.0,,,,Value,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Exports - Services,Exports - Services,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBB,IKBB,,,
239435.0,,,,Value,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Exports - Total,Exports - Total,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBH,IKBH,,,
50293.0,,,,Value,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Imports - Services,Imports - Services,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBC,IKBC,,,
235295.0,,,,Value,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Imports - Total,Imports - Total,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBI,IKBI,,,
17032.0,,,,Value,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Balance - Services,Balance - Services,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBD,IKBD,,,
4140.0,,,,Value,,,,,,,,,,,,,1997.0,1997.0,,Year,,,,,,,,,,,,,,,Category,Category,,Balance - Total,Balance - Total,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBJ,IKBJ,,,
70326.0,,,,Value,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Exports - Services,Exports - Services,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBB,IKBB,,,
234323.0,,,,Value,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Exports - Total,Exports - Total,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBH,IKBH,,,
55543.0,,,,Value,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Imports - Services,Imports - Services,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBC,IKBC,,,
241883.0,,,,Value,,,,,,,,,,,,,1998.0,1998.0,,Year,,,,,,,,,,,,,,,Category,Category,,Imports - Total,Imports - Total,,,,Output,Output,,Seasonally adjusted,Seasonally adjusted,,,,CDID,CDID,,IKBI,IKBI,,,
