observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4
2245.59295455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
708.007049236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
517.323112396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
837.447338294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
182.815454624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
1736.1290365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,All Visits,All Visits,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
538.030009262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Holiday,Holiday,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
548.760229572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Business,Business,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
470.170729768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Visiting friends or relatives,Visiting friends or relatives,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
179.168067902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Purpose of overseas resident's visits to the UK by month,Purpose of overseas resident's visits to the UK by month,,,,Purpose,Purpose,,Miscellaneous,Miscellaneous,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
