observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4
18679.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,NoLookupError,NoLookupError,,,,Expenditure 2,Expenditure 2,,Total,Total,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
8956.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Independent Companies,Independent Companies,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
7183.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Subsidiaries,Subsidiaries,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
1667.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Issues of Ordinary Shares²,Issues of Ordinary Shares²,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
873.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Issues of Fixed Interest Securities²,Issues of Fixed Interest Securities²,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
86.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Percentage of Expenditure,Percentage of Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Cash,Cash,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
9.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Percentage of Expenditure,Percentage of Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Issues of Ordinary Shares,Issues of Ordinary Shares,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
5.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Percentage of Expenditure,Percentage of Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Issues of Fixed Interest Securities,Issues of Fixed Interest Securities,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
31408.0,,,,,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,NoLookupError,NoLookupError,,,,Expenditure 2,Expenditure 2,,Total,Total,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
12080.0,,,,,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,,Expenditure,Expenditure,,,,Expenditure 1,Expenditure 1,,Cash,Cash,,,,Expenditure 2,Expenditure 2,,Independent Companies,Independent Companies,,,,ExtraTime,ExtraTime,,Annual,Annual,,,
