observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
12421.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1980.0,1980.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
11452.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1981.0,1981.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
11636.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1982.0,1982.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
12464.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1983.0,1983.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
13644.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1984.0,1984.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
14449.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1985.0,1985.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
13897.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1986.0,1986.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
15566.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1987.0,1987.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
15799.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1988.0,1988.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
17338.0,,,,UK Residents,,,,,1000,Visits (Thousands),,,,,,,1989.0,1989.0,,Year,,,,,,,,,,,,,,,Category,Category,,Visits,Visits,,,,Output,Output,,"Overseas residents' visits, nights and spending in the UK 1980 to 2014","Overseas residents' visits, nights and spending in the UK 1980 to 2014",,,
