observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
19935.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,TOTAL ALL EMPLOYEES ,TOTAL ALL EMPLOYEES ,,,
2292.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,0 to 99 employees ,0 to 99 employees ,,,
3564.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,100 to 399 employees ,100 to 399 employees ,,,
3423.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,400 to 999 employees ,400 to 999 employees ,,,
6680.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,"1,000 to 4,999 employees ","1,000 to 4,999 employees ",,,
1326.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,"5,000 to 9,999 employees ","5,000 to 9,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,"10,000 to 19,999 employees ","10,000 to 19,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, TOTAL, TOTAL,,,,Sizeband,Sizeband,,"20,000 employees and over ","20,000 employees and over ",,,
13328.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,TOTAL ALL EMPLOYEES ,TOTAL ALL EMPLOYEES ,,,
816.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,0 to 99 employees ,0 to 99 employees ,,,
2444.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,100 to 399 employees ,100 to 399 employees ,,,
2461.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,400 to 999 employees ,400 to 999 employees ,,,
4840.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,"1,000 to 4,999 employees ","1,000 to 4,999 employees ",,,
970.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,"5,000 to 9,999 employees ","5,000 to 9,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,"10,000 to 19,999 employees ","10,000 to 19,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Manufacturing: Total, Manufacturing: Total,,,,Sizeband,Sizeband,,"20,000 employees and over ","20,000 employees and over ",,,
4607.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,TOTAL ALL EMPLOYEES ,TOTAL ALL EMPLOYEES ,,,
217.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,0 to 99 employees ,0 to 99 employees ,,,
802.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,100 to 399 employees ,100 to 399 employees ,,,
952.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,400 to 999 employees ,400 to 999 employees ,,,
2581.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,"1,000 to 4,999 employees ","1,000 to 4,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,"5,000 to 9,999 employees ","5,000 to 9,999 employees ",,,
,-,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,"10,000 to 19,999 employees ","10,000 to 19,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Chemicals, Chemicals,,,,Sizeband,Sizeband,,"20,000 employees and over ","20,000 employees and over ",,,
1102.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,TOTAL ALL EMPLOYEES ,TOTAL ALL EMPLOYEES ,,,
141.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,0 to 99 employees ,0 to 99 employees ,,,
236.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,100 to 399 employees ,100 to 399 employees ,,,
230.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,400 to 999 employees ,400 to 999 employees ,,,
370.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,"1,000 to 4,999 employees ","1,000 to 4,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,"5,000 to 9,999 employees ","5,000 to 9,999 employees ",,,
,..,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,"10,000 to 19,999 employees ","10,000 to 19,999 employees ",,,
,-,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Mechanical engineering, Mechanical engineering,,,,Sizeband,Sizeband,,"20,000 employees and over ","20,000 employees and over ",,,
1497.0,,£ million,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,R&D,R&D,, Electrical machinery, Electrical machinery,,,,Sizeband,Sizeband,,TOTAL ALL EMPLOYEES ,TOTAL ALL EMPLOYEES ,,,
