observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
19935.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,, TOTAL, TOTAL,,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Total , Total ,,,
1634.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,, TOTAL, TOTAL,,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Capital Total , Capital Total ,,,
18301.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,, TOTAL, TOTAL,,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Current Total , Current Total ,,,
9489.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,, TOTAL, TOTAL,,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,,Salaries and wages ,Salaries and wages ,,,
8812.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,, TOTAL, TOTAL,,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Other current , Other current ,,,
119.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,," Agriculture, hunting and forestry; Fishing"," Agriculture, hunting and forestry; Fishing",,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Total , Total ,,,
9.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,," Agriculture, hunting and forestry; Fishing"," Agriculture, hunting and forestry; Fishing",,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Capital Total , Capital Total ,,,
110.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,," Agriculture, hunting and forestry; Fishing"," Agriculture, hunting and forestry; Fishing",,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Current Total , Current Total ,,,
45.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,," Agriculture, hunting and forestry; Fishing"," Agriculture, hunting and forestry; Fishing",,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,,Salaries and wages ,Salaries and wages ,,,
65.0,,,,,,,,,,,,,,,,,2014,2014,,Year,,,,,,,,,,,,,,,Industry,Industry,," Agriculture, hunting and forestry; Fishing"," Agriculture, hunting and forestry; Fishing",,,,Current and capital expenditure on R&D,Current and capital expenditure on R&D,, Other current , Other current ,,,
