observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
262.0,,,,Number,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions Abroad by UK Companies,Transactions Abroad by UK Companies,,,,Transaction,Transaction,,Acquisitions,Acquisitions,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
26626.0,,,,Value,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions Abroad by UK Companies,Transactions Abroad by UK Companies,,,,Transaction,Transaction,,Acquisitions,Acquisitions,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
128.0,,,,Number,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions Abroad by UK Companies,Transactions Abroad by UK Companies,,,,Transaction,Transaction,,Disposals,Disposals,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
7074.0,,,,Value,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions Abroad by UK Companies,Transactions Abroad by UK Companies,,,,Transaction,Transaction,,Disposals,Disposals,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
117.0,,,,Number,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions in the UK by Foreign Companies,Transactions in the UK by Foreign Companies,,,,Transaction,Transaction,,Acquisitions,Acquisitions,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
16798.0,,,,Value,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions in the UK by Foreign Companies,Transactions in the UK by Foreign Companies,,,,Transaction,Transaction,,Acquisitions,Acquisitions,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
60.0,,,,Number,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions in the UK by Foreign Companies,Transactions in the UK by Foreign Companies,,,,Transaction,Transaction,,Disposals,Disposals,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
7912.0,,,,Value,,,,,,,,,,,,,2002.0,2002.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions in the UK by Foreign Companies,Transactions in the UK by Foreign Companies,,,,Transaction,Transaction,,Disposals,Disposals,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
243.0,,,,Number,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions Abroad by UK Companies,Transactions Abroad by UK Companies,,,,Transaction,Transaction,,Acquisitions,Acquisitions,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
20756.0,,,,Value,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Companies,Companies,,Transactions Abroad by UK Companies,Transactions Abroad by UK Companies,,,,Transaction,Transaction,,Acquisitions,Acquisitions,,,,TIMETYPE,TIMETYPE,,Annual,Annual,,,
