observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
214.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing",,,,AWE Breakdown,AWE Breakdown,,Average Weekly Earnings,Average Weekly Earnings,,,
2.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing",,,,AWE Breakdown,AWE Breakdown,,Bonuses,Bonuses,,,
0.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing",,,,AWE Breakdown,AWE Breakdown,,Arrears,Arrears,,,
551.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,Mining and Quarrying,Mining and Quarrying,,,,AWE Breakdown,AWE Breakdown,,Average Weekly Earnings,Average Weekly Earnings,,,
37.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,Mining and Quarrying,Mining and Quarrying,,,,AWE Breakdown,AWE Breakdown,,Bonuses,Bonuses,,,
0.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,Mining and Quarrying,Mining and Quarrying,,,,AWE Breakdown,AWE Breakdown,,Arrears,Arrears,,,
314.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Manufacturing - Food Products, Beverages and Tobacco ","Manufacturing - Food Products, Beverages and Tobacco ",,,,AWE Breakdown,AWE Breakdown,,Average Weekly Earnings,Average Weekly Earnings,,,
12.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Manufacturing - Food Products, Beverages and Tobacco ","Manufacturing - Food Products, Beverages and Tobacco ",,,,AWE Breakdown,AWE Breakdown,,Bonuses,Bonuses,,,
0.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Manufacturing - Food Products, Beverages and Tobacco ","Manufacturing - Food Products, Beverages and Tobacco ",,,,AWE Breakdown,AWE Breakdown,,Arrears,Arrears,,,
244.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Manufacturing - Textiles, Leather and Clothing","Manufacturing - Textiles, Leather and Clothing",,,,AWE Breakdown,AWE Breakdown,,Average Weekly Earnings,Average Weekly Earnings,,,
8.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Manufacturing - Textiles, Leather and Clothing","Manufacturing - Textiles, Leather and Clothing",,,,AWE Breakdown,AWE Breakdown,,Bonuses,Bonuses,,,
0.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,"Manufacturing - Textiles, Leather and Clothing","Manufacturing - Textiles, Leather and Clothing",,,,AWE Breakdown,AWE Breakdown,,Arrears,Arrears,,,
474.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,Manufacturing - Chemicals and Man-made Fibres,Manufacturing - Chemicals and Man-made Fibres,,,,AWE Breakdown,AWE Breakdown,,Average Weekly Earnings,Average Weekly Earnings,,,
26.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,Manufacturing - Chemicals and Man-made Fibres,Manufacturing - Chemicals and Man-made Fibres,,,,AWE Breakdown,AWE Breakdown,,Bonuses,Bonuses,,,
1.0,,,,,,,,,,,,,,,,,2000 Jan,2000 Jan,,,,,,,,,,,,,,,,,Broad Industry Group,Broad Industry Group,,Manufacturing - Chemicals and Man-made Fibres,Manufacturing - Chemicals and Man-made Fibres,,,,AWE Breakdown,AWE Breakdown,,Arrears,Arrears,,,
